id;name;nacionality
16;AMERICAN SAMOA;
74;BOUVET ISLAND;
101;ARGENTINA;
102;BOLIVIA;
103;BRASIL;
104;CANADA;
105;COLOMBIA;
106;COSTA RICA;
107;CUBA;
108;CHILE;
109;ANGUILA;
110;ESTADOS UNIDOS;
111;GUATEMALA;
112;HAITI;
113;HONDURAS;
114;JAMAICA;
115;MALVINAS  ISLAS;
116;MEXICO;
117;NICARAGUA;
118;PANAMA;
119;PARAGUAY;
120;PERU;
121;PUERTO RICO;
122;REPUBLICA DOMINICANA;
123;EL SALVADOR;
124;TRINIDAD Y TOBAGO;
125;URUGUAY;
126;VENEZUELA;
127;CURAZAO;
129;BAHAMAS;
130;BARBADOS;
131;GRANADA;
132;GUYANA;
133;SURINAM;
134;ANTIGUA Y BARBUDA;
135;BELICE;
136;DOMINICA;
137;SAN CRISTOBAL Y NEVIS;
138;SANTA LUCIA;
139;SAN VICENTE Y LAS GRANAD.;
140;ANTILLAS HOLANDESAS;
141;ARUBA;
142;BERMUDA;
143;GUADALUPE;
144;GUYANA FRANCESA;
145;ISLAS CAIMAN;
146;ISLAS VIRGENES (BRITANICAS);
147;JOHNSTON ISLA;
148;MARTINICA;
149;MONTSERRAT ISLA;
151;TURCAS  Y CAICOS ISLAS;
152;VIRGENES,ISLAS(NORT.AMER.);
201;ALBANIA;
202;ALEMANIA;
203;AUSTRIA;
204;BELGICA;
205;BULGARIA;
207;ALBORAN Y PEREJIL;
208;DINAMARCA;
209;ESPA•A;
211;FRANCIA;
212;FINLANDIA;
213;REINO UNIDO;
214;GRECIA;
215;PAISES BAJOS (HOLANDA);
216;HUNGRIA;
217;IRLANDA;
218;ISLANDIA;
219;ITALIA;
220;LUXEMBURGO;
221;MALTA;
222;NORUEGA;
223;POLONIA;
224;PORTUGAL;
225;RUMANIA;
226;SUECIA;
227;SUIZA;
228;CANARIAS  ISLAS;
229;UCRANIA;
230;RUSIA;
231;YUGOSLAVIA;
233;ANDORRA;
234;LIECHTENSTEIN;
235;MONACO;
237;SAN MARINO;
238;VATICANO (SANTA SEDE);
239;GIBRALTAR;
241;BELARUS;
242;BOSNIA Y HERZEGOVINA;
243;CROACIA;
244;ESLOVENIA;
245;ESTONIA;
246;GEORGIA;
247;GROENLANDIA;
248;LETONIA;
249;LITUANIA;
250;MOLDOVA;
251;MACEDONIA;
252;ESLOVAQUIA;
253;ISLAS FAROE;
260;FRENCH SOUTHERN TERRITORIES;
301;AFGANISTAN;
302;ARABIA SAUDITA;
303;MYANMAR (BURMA);
304;CAMBOYA;
306;COREA NORTE;
307;TAIWAN (CHINA);
308;FILIPINAS;
309;INDIA;
310;INDONESIA;
311;IRAK;
312;IRAN (REPUBLICA ISLAMICA);
313;ISRAEL;
314;JAPON;
315;JORDANIA;
316;KUWAIT;
317;LAOS, REP. POP. DEMOC.;
318;LIBANO;
319;MALASIA;
321;MONGOLIA (MANCHURIA);
322;PAKISTAN;
323;SIRIA;
325;TAILANDIA;
327;BAHREIN;
328;BANGLADESH;
329;BUTAN;
330;COREA DEL SUR;
331;CHINA POPULAR;
332;CHIPRE;
333;EMIRATOS ARABES UNIDOS;
334;QATAR;
335;MALDIVAS;
336;NEPAL;
337;OMAN;
338;SINGAPUR;
339;SRI LANKA (CEILAN);
341;VIETNAM;
342;YEMEN;
343;ISLAS HEARD Y MCDONALD;
344;BRUNEI DARUSSALAM;
346;TURQUIA;
347;AZERBAIJAN;
348;KAZAJSTAN;
349;KIRGUIZISTAN;
350;TAJIKISTAN;
351;TURKMENISTAN;
352;UZBEKISTAN;
353;PALESTINA;
354;HONG KONG;
355;MACAO;
356;ARMENIA;
402;BURKINA FASO;
403;ARGELIA;
404;BURUNDI;
405;CAMERUN;
406;CONGO;
407;ETIOPIA;
408;GAMBIA;
409;GUINEA;
410;LIBERIA;
412;MADAGASCAR;
413;MALAWI;
414;MALI;
415;MARRUECOS;
416;MAURITANIA;
417;NIGERIA;
419;ZIMBABWE (RHODESIA);
420;SENEGAL;
421;SUDAN;
422;SUDAFRICA  (CISKEI);
423;SIERRA LEONA;
425;TANZANIA;
426;UGANDA;
427;ZAMBIA;
428;èLAND ISLANDS;
429;BENIN;
430;BOTSWANA;
431;REPUBLICA CENTROAFRICANA;
432;COSTA DE MARFIL;
433;CHAD;
434;EGIPTO;
435;GABON;
436;GHANA;
437;GUINEA-BISSAU;
438;GUINEA ECUATORIAL;
439;KENIA;
440;LESOTHO;
441;MAURICIO;
442;MOZAMBIQUE;
443;MAYOTTE;
444;NIGER;
445;RWANDA;
446;SEYCHELLES;
447;SAHARA OCCIDENTAL;
448;SOMALIA;
449;SANTO TOME Y PRINCIPE;
450;SWAZILANDIA;
451;TOGO;
452;TUNEZ;
453;ZAIRE;
454;ANGOLA;
456;CABO VERDE;
458;COMORAS;
459;DJIBOUTI;
460;NAMIBIA;
463;ERITREA;
464;MOROCCO;
465;REUNION;
466;SANTA ELENA;
499;JERSEY;
501;AUSTRALIA;
503;NUEVA ZELANDA;
504;SAMOA OCCIDENTAL;
506;FIJI;
507;PAPUA NUEVA GUINEA;
508;TONGA;
509;PALAO  (BELAU)  ISLAS;
510;KIRIBATI;
511;MARSHALL ISLAS;
512;MICRONESIA;
513;NAURU;
514;SALOMON  ISLAS;
515;TUVALU;
516;VANUATU;
517;GUAM;
518;ISLAS COCOS (KEELING);
519;ISLAS COOK;
520;ISLAS NAVIDAD;
521;MIDWAY ISLAS;
522;NIUE ISLA;
523;NORFOLK ISLA;
524;NUEVA  CALEDONIA;
525;PITCAIRN, ISLA;
526;POLINESIA FRANCESA;
529;TIMOR DEL ESTE;
530;TOKELAI;
531;WAKE ISLA;
532;WALLIS Y FUTUNA, ISLAS;
593;ECUADOR;
594;AGUAS INTERNACIONALES;
595;ALTO VOLTA;
596;BIELORRUSIA;
597;COTE D?VOIRE;
598;CYPRUS;
599;REPUBLICA CHECA;
600;FALKLAND ISLANDS;
601;LATVIA;
602;LIBIA;
603;NORTHERN MARIANA ISL;
604;ST. PIERRE AND MIQUE;
605;SYRIAN ARAB REPUBLIC;
606;TERRITORIO ANTARTICO BRITANICO;
607;TERRITORIO BRITANICO OCEANO IN;
831;GUERNSEY;
832;JERSEY;
833;ISLE OF MAN;
999;GENERAL;
